zip,white_pop
61919,962
61920,22168
61924,2380
61925,572
61928,666
61929,729
61930,517
61931,1273
61932,447
61933,936
61936,156
61937,2134
61938,21072
61940,205
61941,66
61942,1145
61943,1646
61944,11877
61949,133
61951,7941
61953,6035
61955,215
61956,2452
61957,2195
62001,1618
62002,23064
62006,618
62009,1740
62010,11114
62011,191
62012,6502
62013,504
62014,3970
62015,448
62016,3627
62017,881
62018,3033
62019,381
62021,932
62022,796
62023,123
62024,9374
62025,29997
62027,459
62028,1147
62030,161
62031,972
62032,685
62033,4476
62034,11612
62035,14880
62036,767
62037,2026
62040,39094
62044,2126
62045,442
62046,879
62047,1579
62048,1672
62049,6941
62050,412
62051,856
62052,12241
62053,646
62054,728
62056,8649
62058,777
62059,5
62060,1610
62061,1679
62062,7436
62063,1219
62065,50
62067,2482
62069,3021
62070,18
62074,1458
62075,3303
62076,112
62077,284
62078,88
62079,300
62080,2749
62081,353
62082,2743
62083,268
62084,1727
62085,189
62086,1445
62087,2176
62088,6509
62089,292
62090,23
62091,287
62092,2890
62093,448
62094,1046
62095,10311
62097,2849
62098,24
62201,1925
62203,372
62204,145
62205,149
62206,5757
62207,231
62208,10543
62214,1159
62215,1653
62216,2911
62217,601
62218,1734
62219,946
62220,15221
62221,19641
62223,13000
62225,3721
62226,20748
62230,6098
62231,6921
62232,6167
62233,7454
62234,27877
62236,12923
62237,2456
62238,696
62239,4822
62240,1657
62241,954
62242,1269
62243,5634
62244,1131
62245,1649
62246,8639
62248,349
62249,15425
62250,471
62253,659
62254,4829
62255,1162
62257,2709
62258,8675
62260,7153
62261,123
62262,1701
62263,4945
62264,3204
62265,4204
62266,172
62268,671
62269,24849
62271,2151
62272,1638
62273,324
62274,6295
62275,3512
62277,1356
62278,6515
62279,35
62280,466
62281,2340
62282,435
62284,466
62285,4258
62286,5000
62288,3010
62289,338
62292,752
62293,4643
62294,13224
62295,1320
62297,345
62298,16644
62301,28983
62305,18291
62311,606
62312,2425
62313,320
62314,543
62316,687
62319,219
62320,1965
62321,4021
62323,164
62324,1056
62325,483
62326,2430
62330,1856
62334,123
62336,36
62338,1335
62339,798
62340,1768
62341,3424
62343,720
62344,96
62345,479
62346,195
62347,2312
62348,155
62349,530
62351,1867
62352,276
62353,4137
62354,1682
62355,899
62356,425
62357,195
62358,782
62359,257
62360,1892
62361,550
62362,305
62363,5724
62365,677
62366,1493
62367,836
62370,411
62373,323
62374,213
62375,344
62376,1089
62378,929
62379,1753
62380,408
62401,18338
62410,1161
62411,4194
62413,432
62414,2025
62417,2483
62418,1677
62419,362
62420,4559
62421,780
62422,1085
62423,503
62424,2449
62425,351
62426,832
62427,1599
62428,2775
62431,952
62432,345
62433,908
62434,320
62436,588
62438,340
62439,6589
62440,1294
62441,6839
62442,2491
62443,1585
62444,258
62445,1353
62446,362
62447,3327
62448,5803
62449,3133
62450,12084
62451,1960
62452,494
62454,10066
62458,1878
62459,272
62460,907
62461,690
62462,932
62463,1286
62465,915
62466,3419
62467,4048
62468,2596
62469,567
62471,8764
62473,1549
62474,1032
62475,317
62476,1615
62477,1036
62478,399
62479,870
62480,434
62481,408
62501,2585
62510,1793
62512,294
62513,1591
62514,239
62515,948
62517,190
62518,309
62519,70
62520,1445
62521,28645
62522,10965
62523,714
62526,23971
62530,1540
62531,1925
62532,65
62533,820
62534,1162
62535,3033
62536,854
62537,57
62538,296
62539,1314
62540,1636
62541,38
62543,399
62544,1713
62545,1052
62546,1507
62547,731
62548,2001
62549,5807
62550,2780
62551,582
62553,556
62554,1330
62555,516
62556,301
62557,6948
62558,3522
62560,1179
62561,5062
62563,5551
62565,7427
62567,1017
62568,15318
62570,427
62571,1298
62572,522
62573,1554
62601,375
62610,168
62611,957
62612,1839
62613,3570
62615,5461
62617,701
62618,6684
62621,1214
62622,57
62624,474
62625,739
62626,7467
62627,951
62628,818
62629,13038
62630,440
62631,266
62633,685
62634,593
62635,562
62638,1292
62639,257
62640,3663
62642,1512
62643,462
62644,4958
62649,469
62650,23919
62655,571
62656,16310
62661,1310
62663,291
62664,2663
62665,1467
62666,523
62667,331
62668,1318
62670,3188
62671,404
62672,230
62673,500
62674,1334
62675,5996
62677,2247
62681,5237
62682,842
62684,5474
62685,1949
62688,619
62689,503
62690,4077
62691,1958
62692,1983
62693,1531
62694,2867
62695,201
62701,720
62702,26953
62703,18483
62704,31498
62707,6946
62711,15080
62712,9512
62801,18971
62803,857
62806,3301
62807,760
62808,1333
62809,115
62810,1005
62811,191
62812,10728
62814,1972
62815,402
62816,1425
62817,538
62818,209
62819,463
62820,116
62821,7258
62822,3240
62823,1717
62824,1614
62825,156
62827,1126
62828,1320
62829,26
62830,1324
62831,474
62832,8304
62833,304
62835,959
62836,762
62837,8416
62838,1804
62839,6305
62841,119
62842,761
62843,93
62844,2217
62846,1741
62848,677
62849,2105
62850,339
62851,240
62852,89
62853,830
62854,1682
62856,308
62858,3065
62859,5566
62860,612
62861,130
62862,314
62863,9390
62864,20125
62865,1958
62867,481
62868,1479
62869,2765
62870,1930
62871,657
62872,1061
62874,447
62875,1183
62876,158
62877,479
62878,361
62879,99
62880,636
62881,10821
62882,2237
62883,845
62884,2653
62885,1009
62886,413
62887,486
62888,2063
62889,798
62890,2849
62891,563
62892,428
62893,1050
62894,978
62895,2063
62896,11636
62897,405
62898,2162
62899,1836
62901,17465
62902,3729
62903,2109
62905,654
62906,6303
62907,2035
62908,457
62910,2018
62912,1104
62914,929
62915,387
62916,987
62917,2123
62918,9373
62919,1028
62920,3023
62921,180
62922,2452
62923,424
62924,2650
62926,2524
62927,283
62928,141
62930,6016
62931,1511
62932,1761
62933,1274
62934,932
62935,1673
62938,2685
62939,3312
62940,323
62941,775
62942,535
62943,403
62946,12006
62947,473
62948,12397
62949,650
62950,204
62951,5103
62952,3041
62953,267
62954,333
62956,873
62957,1096
62958,1859
62959,25401
62960,10694
62961,39
62962,76
62963,277
62964,543
62965,79
62966,13249
62967,268
62969,456
62970,592
62972,922
62974,1620
62975,344
62976,182
62977,559
62979,1096
62982,902
62983,1357
62984,1824
62985,761
62987,1230
62988,1097
62990,698
62992,468
62994,501
62995,4483
62996,293
62997,503
62998,365
62999,1726
63673,1995
